bytes_out,num_pkts_out,bytes_in,num_pkts_in,packets_b_variance,packets_ipt_average,packets_ipt_variance,byte_dist_mean,byte_dist_std,entropy,total_entropy,wht1,wht2,wht3,wht4,debug_tcp_retrans,tls_cipher_suites_counts,server_name_exist,ec_point_formats_exist,extended_master_secret_exist,renegotiation_info_exist,supported_groups_exist,session_ticket_exist,application_layer_protocol_negotiation_exist,status_request_exist,key_share_exist,padding_exist,mac_weight,win_weight,linux_weight,is_browser,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384_supported,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384_supported,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384_supported,TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384_supported,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA_supported,TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA_supported,TLS_DH_DSS_WITH_AES_256_GCM_SHA384_supported,TLS_DHE_DSS_WITH_AES_256_GCM_SHA384_supported,TLS_DH_RSA_WITH_AES_256_GCM_SHA384_supported,TLS_DHE_RSA_WITH_AES_256_GCM_SHA384_supported,TLS_DHE_RSA_WITH_AES_256_CBC_SHA256_supported,TLS_DHE_DSS_WITH_AES_256_CBC_SHA256_supported,TLS_DH_RSA_WITH_AES_256_CBC_SHA256_supported,TLS_DH_DSS_WITH_AES_256_CBC_SHA256_supported,TLS_DHE_RSA_WITH_AES_256_CBC_SHA_supported,TLS_DHE_DSS_WITH_AES_256_CBC_SHA_supported,TLS_DH_RSA_WITH_AES_256_CBC_SHA_supported,TLS_DH_DSS_WITH_AES_256_CBC_SHA_supported,TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA_supported,TLS_DHE_DSS_WITH_CAMELLIA_256_CBC_SHA_supported,TLS_DH_RSA_WITH_CAMELLIA_256_CBC_SHA_supported,TLS_DH_DSS_WITH_CAMELLIA_256_CBC_SHA_supported,TLS_RSA_WITH_AES_256_GCM_SHA384_supported,TLS_RSA_WITH_AES_256_CBC_SHA256_supported,TLS_RSA_WITH_AES_256_CBC_SHA_supported,TLS_RSA_WITH_CAMELLIA_256_CBC_SHA_supported,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256_supported,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256_supported,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256_supported,TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256_supported,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA_supported,TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA_supported,TLS_DH_DSS_WITH_AES_128_GCM_SHA256_supported,TLS_DHE_DSS_WITH_AES_128_GCM_SHA256_supported,TLS_DH_RSA_WITH_AES_128_GCM_SHA256_supported,TLS_DHE_RSA_WITH_AES_128_GCM_SHA256_supported,TLS_DHE_RSA_WITH_AES_128_CBC_SHA256_supported,TLS_DHE_DSS_WITH_AES_128_CBC_SHA256_supported,TLS_DH_RSA_WITH_AES_128_CBC_SHA256_supported,TLS_DH_DSS_WITH_AES_128_CBC_SHA256_supported,TLS_DHE_RSA_WITH_AES_128_CBC_SHA_supported,TLS_DHE_DSS_WITH_AES_128_CBC_SHA_supported,TLS_DH_RSA_WITH_AES_128_CBC_SHA_supported,TLS_DH_DSS_WITH_AES_128_CBC_SHA_supported,TLS_DHE_RSA_WITH_SEED_CBC_SHA_supported,TLS_DHE_DSS_WITH_SEED_CBC_SHA_supported,TLS_DH_RSA_WITH_SEED_CBC_SHA_supported,TLS_DH_DSS_WITH_SEED_CBC_SHA_supported,TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA_supported,TLS_DHE_DSS_WITH_CAMELLIA_128_CBC_SHA_supported,TLS_DH_RSA_WITH_CAMELLIA_128_CBC_SHA_supported,TLS_DH_DSS_WITH_CAMELLIA_128_CBC_SHA_supported,TLS_RSA_WITH_AES_128_GCM_SHA256_supported,TLS_RSA_WITH_AES_128_CBC_SHA256_supported,TLS_RSA_WITH_AES_128_CBC_SHA_supported,TLS_RSA_WITH_SEED_CBC_SHA_supported,TLS_RSA_WITH_CAMELLIA_128_CBC_SHA_supported,TLS_ECDHE_RSA_WITH_3DES_EDE_CBC_SHA_supported,TLS_ECDHE_ECDSA_WITH_3DES_EDE_CBC_SHA_supported,TLS_DHE_RSA_WITH_3DES_EDE_CBC_SHA_supported,TLS_DHE_DSS_WITH_3DES_EDE_CBC_SHA_supported,TLS_DH_RSA_WITH_3DES_EDE_CBC_SHA_supported,TLS_DH_DSS_WITH_3DES_EDE_CBC_SHA_supported,TLS_RSA_WITH_3DES_EDE_CBC_SHA_supported,TLS_EMPTY_RENEGOTIATION_INFO_SCSV_supported,byte_0x00,byte_0x01,byte_0x02,byte_0x03,byte_0x04,byte_0x05,byte_0x06,byte_0x07,byte_0x08,byte_0x09,byte_0x0a,byte_0x0b,byte_0x0c,byte_0x0d,byte_0x0e,byte_0x0f,byte_0x10,byte_0x11,byte_0x12,byte_0x13,byte_0x14,byte_0x15,byte_0x16,byte_0x17,byte_0x18,byte_0x19,byte_0x1a,byte_0x1b,byte_0x1c,byte_0x1d,byte_0x1e,byte_0x1f,byte_0x20,byte_0x21,byte_0x22,byte_0x23,byte_0x24,byte_0x25,byte_0x26,byte_0x27,byte_0x28,byte_0x29,byte_0x2a,byte_0x2b,byte_0x2c,byte_0x2d,byte_0x2e,byte_0x2f,byte_0x30,byte_0x31,byte_0x32,byte_0x33,byte_0x34,byte_0x35,byte_0x36,byte_0x37,byte_0x38,byte_0x39,byte_0x3a,byte_0x3b,byte_0x3c,byte_0x3d,byte_0x3e,byte_0x3f,byte_0x40,byte_0x41,byte_0x42,byte_0x43,byte_0x44,byte_0x45,byte_0x46,byte_0x47,byte_0x48,byte_0x49,byte_0x4a,byte_0x4b,byte_0x4c,byte_0x4d,byte_0x4e,byte_0x4f,byte_0x50,byte_0x51,byte_0x52,byte_0x53,byte_0x54,byte_0x55,byte_0x56,byte_0x57,byte_0x58,byte_0x59,byte_0x5a,byte_0x5b,byte_0x5c,byte_0x5d,byte_0x5e,byte_0x5f,byte_0x60,byte_0x61,byte_0x62,byte_0x63,byte_0x64,byte_0x65,byte_0x66,byte_0x67,byte_0x68,byte_0x69,byte_0x6a,byte_0x6b,byte_0x6c,byte_0x6d,byte_0x6e,byte_0x6f,byte_0x70,byte_0x71,byte_0x72,byte_0x73,byte_0x74,byte_0x75,byte_0x76,byte_0x77,byte_0x78,byte_0x79,byte_0x7a,byte_0x7b,byte_0x7c,byte_0x7d,byte_0x7e,byte_0x7f,byte_0x80,byte_0x81,byte_0x82,byte_0x83,byte_0x84,byte_0x85,byte_0x86,byte_0x87,byte_0x88,byte_0x89,byte_0x8a,byte_0x8b,byte_0x8c,byte_0x8d,byte_0x8e,byte_0x8f,byte_0x90,byte_0x91,byte_0x92,byte_0x93,byte_0x94,byte_0x95,byte_0x96,byte_0x97,byte_0x98,byte_0x99,byte_0x9a,byte_0x9b,byte_0x9c,byte_0x9d,byte_0x9e,byte_0x9f,byte_0xa0,byte_0xa1,byte_0xa2,byte_0xa3,byte_0xa4,byte_0xa5,byte_0xa6,byte_0xa7,byte_0xa8,byte_0xa9,byte_0xaa,byte_0xab,byte_0xac,byte_0xad,byte_0xae,byte_0xaf,byte_0xb0,byte_0xb1,byte_0xb2,byte_0xb3,byte_0xb4,byte_0xb5,byte_0xb6,byte_0xb7,byte_0xb8,byte_0xb9,byte_0xba,byte_0xbb,byte_0xbc,byte_0xbd,byte_0xbe,byte_0xbf,byte_0xc0,byte_0xc1,byte_0xc2,byte_0xc3,byte_0xc4,byte_0xc5,byte_0xc6,byte_0xc7,byte_0xc8,byte_0xc9,byte_0xca,byte_0xcb,byte_0xcc,byte_0xcd,byte_0xce,byte_0xcf,byte_0xd0,byte_0xd1,byte_0xd2,byte_0xd3,byte_0xd4,byte_0xd5,byte_0xd6,byte_0xd7,byte_0xd8,byte_0xd9,byte_0xda,byte_0xdb,byte_0xdc,byte_0xdd,byte_0xde,byte_0xdf,byte_0xe0,byte_0xe1,byte_0xe2,byte_0xe3,byte_0xe4,byte_0xe5,byte_0xe6,byte_0xe7,byte_0xe8,byte_0xe9,byte_0xea,byte_0xeb,byte_0xec,byte_0xed,byte_0xee,byte_0xef,byte_0xf0,byte_0xf1,byte_0xf2,byte_0xf3,byte_0xf4,byte_0xf5,byte_0xf6,byte_0xf7,byte_0xf8,byte_0xf9,byte_0xfa,byte_0xfb,byte_0xfc,byte_0xfd,byte_0xfe,byte_0xff,label
1303,7,1855,8,123898.3822222222,3.466666666666667,41.58222222222221,104.581381,58.247135,4.110044,12979.517454,104.58,1.3078,2.1438,0.80431,5,75,True,False,True,False,False,True,False,False,True,True,3.0,0.0,0.0,False,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,136,25,15,39,15,6,15,7,11,9,9,12,13,10,6,5,5,7,3,10,5,4,9,7,4,3,4,4,6,6,3,4,6,4,4,6,2,3,5,4,9,3,8,6,5,5,9,5,18,14,9,4,6,6,7,8,3,6,5,5,5,5,3,5,4,5,3,4,3,4,2,6,7,3,2,3,4,3,4,1,6,7,6,9,3,12,3,4,6,6,5,8,3,4,5,4,5,7,6,3,4,7,2,7,5,9,8,2,5,6,4,4,6,7,5,3,5,4,5,3,3,5,4,5,5,5,5,4,4,5,7,2,5,1,8,2,2,3,6,2,6,4,6,6,5,4,2,4,4,3,5,4,2,5,3,5,4,3,4,6,6,4,5,6,3,6,5,5,7,5,4,4,3,5,3,5,7,5,5,2,6,3,4,3,4,3,5,4,4,7,2,7,24,4,5,4,4,4,6,5,5,3,6,3,7,8,5,3,3,7,1,5,5,3,7,5,3,4,6,6,5,4,4,2,5,7,5,7,3,4,4,7,6,4,6,4,3,3,5,5,5,5,5,5,4,3,3,5,4,4,4,6,2,4,8,7,weevely3.7.0
1303,7,1855,8,123898.3822222222,3.533333333333333,42.382222222222225,100.960101,56.741176,4.109554,12977.970944,100.96,0.26409,0.26599,1.3483,5,75,True,False,True,False,False,True,False,False,True,True,3.0,0.0,0.0,False,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,135,25,13,36,18,9,15,8,9,9,7,10,11,7,7,6,8,3,5,6,5,5,9,10,4,5,3,7,3,8,6,5,8,4,6,4,4,3,9,6,7,3,8,5,9,5,8,6,22,16,8,3,6,5,8,9,6,7,4,5,10,5,4,2,6,6,6,2,5,2,5,5,4,4,4,4,5,5,3,2,6,3,4,8,2,14,6,6,6,3,4,7,4,6,6,8,7,5,6,4,5,8,3,5,5,7,8,5,2,5,5,6,5,2,3,5,4,3,3,8,3,2,8,2,5,5,2,2,2,4,7,3,5,4,8,4,3,5,5,4,5,4,8,5,4,3,2,5,3,6,5,3,5,4,3,4,4,8,4,7,6,3,7,7,3,5,5,6,7,4,3,5,6,8,4,2,5,7,5,3,6,5,6,4,5,2,4,3,2,7,7,5,24,3,3,4,6,2,3,8,4,4,2,3,7,1,1,2,4,6,2,4,2,3,5,5,3,5,4,7,6,5,4,2,4,6,2,3,4,4,4,5,3,3,4,4,4,2,3,6,4,3,4,4,3,5,3,5,4,2,4,7,5,3,3,8,weevely3.7.0
1303,7,1855,8,123898.3822222222,3.3333333333333335,45.022222222222226,104.024699,57.463807,4.112603,12987.59936,104.02,-0.58138,2.1729,0.32426,5,75,True,False,True,False,False,True,False,False,True,True,3.0,0.0,0.0,False,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,135,25,13,36,17,10,14,7,9,8,8,11,11,8,7,6,5,3,4,5,5,7,7,7,4,5,3,4,4,7,4,4,7,5,4,2,6,4,7,8,8,4,7,5,4,5,8,5,20,15,8,4,5,6,5,9,6,5,3,7,5,3,6,5,7,7,4,4,4,6,3,5,5,2,4,4,5,1,3,0,5,4,8,8,4,14,5,7,3,5,4,6,5,5,7,6,4,6,6,6,3,5,6,6,5,8,7,6,6,5,5,3,6,2,7,3,2,4,7,2,3,2,7,3,5,4,5,3,4,2,5,2,5,4,7,2,5,6,6,4,6,4,8,2,4,5,3,4,2,6,7,6,5,4,4,4,5,6,3,5,6,4,8,7,6,7,4,5,4,4,7,4,2,3,5,4,5,5,3,5,3,3,5,5,8,3,4,4,4,3,5,8,24,4,3,5,7,4,3,4,5,5,2,3,5,4,4,2,3,6,4,5,4,1,10,6,6,6,7,4,6,5,3,6,5,7,3,5,3,3,3,1,5,3,4,3,3,3,4,3,4,6,5,2,4,7,5,5,4,7,3,3,5,3,8,5,weevely3.7.0
1303,7,1855,8,123898.3822222222,3.8,42.56000000000001,101.933502,57.311154,4.108512,12974.682164,101.93,-1.7783,-1.0937,-0.26852,5,75,True,False,True,False,False,True,False,False,True,True,3.0,0.0,0.0,False,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,137,27,13,35,19,8,14,7,9,5,10,10,13,11,8,5,6,3,5,9,9,4,10,7,5,6,4,8,4,5,4,4,5,6,4,4,4,5,8,3,7,4,8,6,6,9,8,6,21,19,7,5,8,5,5,9,6,6,2,1,6,7,2,3,7,4,4,5,2,4,5,3,4,3,2,3,5,3,4,2,5,3,6,9,5,13,4,6,6,5,6,5,3,6,5,6,6,5,5,3,3,8,5,5,6,6,8,4,4,3,4,5,4,4,7,4,2,7,3,5,3,4,3,2,5,5,5,3,5,5,8,4,6,4,8,4,3,3,4,5,8,3,7,7,5,4,6,5,3,4,7,5,6,2,2,3,5,2,4,7,5,5,3,6,5,5,5,5,4,5,4,3,4,7,5,4,8,5,4,1,4,2,7,5,3,3,4,3,4,6,4,5,24,7,4,5,5,4,3,3,7,4,2,4,4,2,4,3,3,6,3,3,3,2,3,5,5,4,6,3,7,5,3,2,8,6,6,4,2,4,8,3,5,5,7,3,5,2,3,2,5,6,5,2,4,3,4,4,4,5,3,7,4,4,5,5,weevely3.7.0
1303,7,1855,8,123898.3822222222,3.466666666666667,43.84888888888887,99.48955,57.141074,4.107519,12971.545475,99.49,-0.88094,0.26219,-1.5041,5,75,True,False,True,False,False,True,False,False,True,True,3.0,0.0,0.0,False,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,136,24,15,38,17,9,18,5,11,6,10,12,13,10,7,4,7,3,6,7,8,4,9,9,5,6,3,7,7,7,7,4,8,4,4,6,6,5,8,3,6,4,5,7,8,5,6,6,18,17,8,6,7,7,6,10,8,4,4,4,6,7,5,3,7,7,7,8,4,3,2,4,8,6,4,5,3,3,4,4,5,5,5,7,4,12,3,5,5,5,4,7,4,3,7,3,6,5,9,5,5,5,4,6,6,8,7,3,7,3,8,4,3,2,4,4,4,3,5,4,4,3,3,5,5,6,6,4,5,1,8,2,4,3,9,4,4,5,6,4,5,4,6,4,6,3,3,5,3,4,5,5,4,2,2,1,3,4,4,4,7,5,6,6,2,7,7,6,5,5,4,5,3,4,4,4,3,5,3,1,4,1,4,4,4,2,3,1,4,5,4,1,23,6,3,6,4,4,3,4,7,4,3,2,6,2,5,2,7,4,2,5,2,4,3,5,5,3,4,6,5,5,4,5,4,3,3,6,5,5,7,3,4,4,4,5,4,4,5,3,3,3,5,2,5,4,5,6,3,4,4,6,4,3,6,5,weevely3.7.0
1303,7,1855,8,123898.3822222222,3.066666666666667,38.99555555555557,100.245092,57.398168,4.079236,12882.225879,100.25,-1.1742,0.045598,-0.59721,5,75,True,False,True,False,False,True,False,False,True,True,3.0,0.0,0.0,False,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,135,22,14,39,17,9,16,9,10,7,13,9,16,12,10,6,4,6,4,6,7,4,11,6,4,6,2,5,4,7,7,5,8,9,4,5,7,5,4,3,7,1,6,5,4,7,12,8,21,17,9,4,9,8,4,8,3,6,5,5,5,4,4,6,5,4,7,5,5,3,1,5,3,4,4,5,4,2,4,3,5,2,6,10,5,14,1,5,5,3,3,5,5,6,8,6,2,9,6,4,1,8,2,5,7,9,8,6,3,5,4,7,4,3,6,3,2,5,4,3,4,5,4,5,7,4,4,3,6,2,8,1,3,3,9,3,2,5,2,7,3,5,6,4,2,2,6,5,6,5,5,3,6,3,2,5,5,3,5,4,7,1,6,6,2,4,3,6,5,4,6,3,2,4,4,3,5,3,2,4,6,4,5,5,3,4,4,2,1,6,5,4,26,1,3,7,7,4,4,5,6,5,2,6,5,2,3,3,4,4,3,6,4,6,4,3,6,2,5,4,5,4,6,9,6,5,4,4,3,2,3,2,5,5,6,3,2,4,3,4,6,4,4,4,3,5,4,6,4,4,3,5,2,4,6,5,weevely3.7.0
1303,7,1855,8,123898.3822222222,3.466666666666667,40.78222222222221,102.814756,57.44663,4.115748,12997.531959,102.81,-0.13015,1.4468,-0.076947,5,75,True,False,True,False,False,True,False,False,True,True,3.0,0.0,0.0,False,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,139,25,14,36,17,9,15,5,9,6,10,13,12,12,6,6,7,6,2,6,4,5,9,8,4,5,4,6,6,4,4,4,4,3,4,3,4,3,7,5,6,3,9,3,8,4,8,6,19,16,9,4,8,5,6,7,8,5,4,2,8,3,4,5,5,6,4,5,7,5,4,4,6,3,3,4,4,4,5,4,6,3,5,10,4,11,2,5,3,4,6,8,4,5,5,5,6,5,5,4,3,7,5,6,5,9,8,5,3,5,6,5,4,2,4,1,6,5,5,5,3,5,3,3,4,6,7,4,5,3,8,4,6,4,8,5,3,5,3,4,6,5,7,6,5,3,5,4,5,6,5,5,5,4,2,4,7,5,3,4,8,3,4,6,3,7,5,6,4,5,7,5,5,3,5,2,4,4,3,4,3,5,5,5,4,3,4,4,2,5,6,4,25,3,5,3,3,6,3,6,4,3,4,2,8,3,3,3,2,4,2,3,3,3,6,5,8,5,5,3,9,5,7,3,4,6,7,5,2,5,2,6,4,2,3,5,2,4,6,3,5,3,7,5,5,6,2,5,3,2,2,5,5,6,7,6,weevely3.7.0
1303,7,1855,8,123898.3822222222,3.8666666666666667,41.58222222222222,101.729259,57.096856,4.101092,12951.248099,101.73,0.4259,0.96042,0.3879,5,75,True,False,True,False,False,True,False,False,True,True,3.0,0.0,0.0,False,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,138,27,14,38,18,8,18,6,12,7,8,10,11,11,9,6,7,4,5,5,6,5,7,7,6,6,3,6,5,4,4,3,7,4,4,6,2,3,8,6,8,4,7,4,5,4,6,7,18,15,9,3,8,4,8,7,5,5,3,4,6,4,4,5,5,6,4,5,5,5,3,5,6,2,4,7,7,6,4,2,5,5,5,8,5,13,4,7,4,5,5,5,5,6,7,4,5,6,8,5,3,4,5,6,6,7,7,2,3,4,6,4,5,3,5,2,4,4,4,4,4,3,3,4,4,5,3,4,3,3,7,2,6,2,7,3,5,6,5,5,6,4,5,7,5,2,3,5,3,5,6,5,4,2,6,4,4,4,8,7,6,4,8,8,2,4,8,4,5,5,6,3,4,8,3,3,7,5,4,3,4,4,3,6,4,4,6,3,5,7,6,6,24,1,5,7,8,4,5,4,6,3,2,2,7,5,2,3,1,5,4,6,2,2,6,4,3,2,5,6,5,3,5,3,4,5,5,6,3,6,5,4,5,3,7,4,3,3,2,2,2,5,5,1,3,4,3,5,3,3,5,4,5,2,5,6,weevely3.7.0
1303,7,1855,8,123898.3822222222,3.3333333333333335,41.55555555555556,101.039265,57.449519,4.102674,12956.244515,101.04,-0.55225,-0.074731,1.3116,5,75,True,False,True,False,False,True,False,False,True,True,3.0,0.0,0.0,False,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,137,27,15,39,18,10,17,9,9,6,10,13,14,11,8,7,6,4,5,6,8,5,8,7,7,5,2,5,5,6,5,4,8,3,6,7,4,1,7,4,7,0,6,5,6,4,7,3,20,15,7,7,7,7,6,10,6,7,2,5,4,4,5,4,4,6,8,4,3,4,5,4,5,3,4,3,5,4,11,3,5,5,5,11,6,11,5,7,4,4,7,5,6,2,5,5,3,5,5,4,6,6,4,6,5,8,7,5,3,6,8,4,2,2,5,4,6,3,4,4,7,3,3,3,4,5,5,2,3,2,7,3,5,3,8,4,5,3,3,2,6,1,9,3,3,3,3,5,5,5,6,4,3,4,3,4,4,5,6,6,8,3,4,6,3,5,1,4,5,5,4,7,5,6,4,4,4,2,3,0,4,8,7,3,5,6,4,3,4,6,5,3,25,6,3,4,3,7,3,5,7,4,4,3,4,3,6,4,4,6,3,4,2,6,3,4,4,5,4,4,5,3,6,2,6,5,7,3,4,5,4,7,7,1,5,2,1,3,5,4,6,5,6,3,4,3,3,3,3,3,3,6,5,4,3,8,weevely3.7.0
1303,7,1855,8,123898.3822222222,4.4,49.04,102.98765,57.329376,4.103729,12959.576965,102.99,-0.31381,1.215,0.66086,5,75,True,False,True,False,False,True,False,False,True,True,3.0,0.0,0.0,False,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,135,25,15,38,17,8,15,7,10,8,9,10,9,9,9,5,6,4,4,7,5,5,10,10,7,3,4,4,3,4,5,7,6,3,6,4,2,5,6,4,7,3,5,6,6,6,6,6,18,16,9,5,5,7,7,9,4,6,2,6,5,2,2,3,6,6,6,4,6,3,2,6,5,5,4,3,6,5,6,4,8,3,8,8,4,10,4,6,6,4,5,6,6,3,4,6,4,6,6,4,5,7,4,8,5,6,9,3,6,3,8,4,5,2,5,4,4,6,4,4,3,5,4,4,5,6,6,6,5,3,6,3,5,4,6,5,4,4,5,6,8,4,7,3,4,5,4,5,3,3,5,5,3,3,2,6,4,3,5,7,4,3,5,5,1,4,3,4,8,6,5,5,4,4,6,3,6,5,3,3,2,4,4,4,3,4,5,3,3,6,5,6,26,1,2,4,4,4,4,3,6,3,5,6,7,3,3,4,5,7,4,4,1,3,3,3,6,4,6,4,4,7,2,7,5,4,8,3,2,6,7,5,4,5,3,4,4,4,3,6,4,4,5,4,5,3,4,5,4,4,1,5,6,5,5,4,weevely3.7.0
